Score,Rank,Percentile
508.32817619550406,3155.0,73.78391019644528
523.444133754875,1451.0,33.933582787652014
505.669326195504,3406.0,79.65388213283443
508.0851125213416,3192.0,74.6492048643592
517.2697624603647,2205.0,51.56688493919551
501.5891761955041,3698.0,86.48269410664172
510.8077761955041,2905.0,67.93732460243218
496.7941761955041,3908.0,91.39382600561272
514.5843004905939,2514.0,58.7932647333957
507.5626261955041,3240.0,75.77174929840973
517.3805004905938,2189.0,51.19270346117867
505.5240761955041,3416.0,79.88774555659495
526.7349415215014,1075.0,25.140318054256316
518.1362261955042,2094.0,48.971000935453695
531.1944915215014,661.0,15.458372310570626
502.9735261955042,3611.0,84.44808231992516
530.2032624603647,732.0,17.118802619270348
511.3327261955041,2849.0,66.62768942937325
515.2242915215013,2454.0,57.39008419083256
